timestamp,type,data
115855,GAZE,-0
115866,7,GAZE
115866,7,CANDIDATES
115878,4,GAZE
115888,6,GAZE
115900,3,GAZE
115913,2,GAZE
115921,9,GAZE
115933,GAZE,-0
115943,7,GAZE
115955,2,GAZE
115966,2,GAZE
115977,6,GAZE
115988,7,GAZE
115999,9,GAZE
116010,6,GAZE
116022,2,GAZE
116033,GAZE,-0
116044,5,GAZE
116055,5,GAZE
116066,7,GAZE
116077,6,GAZE
116088,4,GAZE
116099,7,GAZE
116111,GAZE,-0
116122,7,GAZE
116133,1,GAZE
116143,9,GAZE
116155,1,GAZE
116166,2,GAZE
116177,3,GAZE
116188,2,GAZE
116199,6,GAZE
116210,4,GAZE
116221,8,GAZE
116232,8,GAZE
116244,4,GAZE
116255,7,GAZE
116266,6,GAZE
116277,8,GAZE
116288,5,GAZE
116299,3,GAZE
116311,GAZE,-0
116321,4,GAZE
116333,6,GAZE
116343,7,GAZE
116355,GAZE,-0
116355,CANDIDATES,stiff;stuff;dui;fatty;drug
116365,9,GAZE
116379,2,GAZE
116388,5,GAZE
116399,4,GAZE
116411,GAZE,-0
116421,7,GAZE
116432,8,GAZE
116444,7,GAZE
116455,6,GAZE
116466,3,GAZE
116477,9,GAZE
116488,8,GAZE
116499,6,GAZE
116511,5,GAZE
116522,2,GAZE
116534,5,GAZE
116545,1,GAZE
116555,7,GAZE
116567,2,GAZE
116578,2,GAZE
116588,9,GAZE
116600,1,GAZE
116611,3,GAZE
116621,9,GAZE
116633,4,GAZE
116645,2,GAZE
116655,8,GAZE
116666,9,GAZE
116678,6,GAZE
116689,8,GAZE
116700,3,GAZE
116711,9,GAZE
116722,5,GAZE
116734,2,GAZE
116745,3,GAZE
116756,1,GAZE
116766,7,GAZE
116777,9,GAZE
116788,5,GAZE
116800,8,GAZE
116811,3,GAZE
116822,3,GAZE
116833,2,GAZE
116844,6,GAZE
116855,2,GAZE
116866,7,GAZE
116878,3,GAZE
116888,7,GAZE
116899,5,GAZE
116910,3,GAZE
116921,9,GAZE
116933,1,GAZE
116946,4,GAZE
116955,6,GAZE
116965,6,GAZE
116978,1,GAZE
116988,7,GAZE
116999,5,GAZE
117014,2,GAZE
117021,GAZE,-0
117030,9,GAZE
117042,3,GAZE
117053,7,GAZE
117064,8,GAZE
117075,8,GAZE
117087,9,GAZE
117098,2,GAZE
117109,4,GAZE
117120,7,GAZE
117132,6,GAZE
117144,6,GAZE
117156,8,GAZE
117167,3,GAZE
117178,5,GAZE
117189,1,GAZE
117200,3,GAZE
117211,3,GAZE
117222,5,GAZE
117232,9,GAZE
117244,6,GAZE
117255,7,GAZE
117267,1,GAZE
117278,4,GAZE
117288,8,GAZE
117300,1,GAZE
117311,2,GAZE
117322,5,GAZE
117333,4,GAZE
117345,3,GAZE
117356,3,GAZE
117366,8,GAZE
117378,1,GAZE
117389,1,GAZE
117400,4,GAZE
117411,6,GAZE
117422,6,GAZE
117433,GAZE,-0
117443,7,GAZE
117454,8,GAZE
117466,5,GAZE
117478,1,GAZE
117488,7,GAZE
117499,5,GAZE
117510,5,GAZE
117510,5,CANDIDATES
117510,5,TEXT_CHANGE
117525,GAZE,-0
117546,8,GAZE
117565,9,GAZE
117573,5,GAZE
117585,GAZE,-0
117595,2,GAZE
117606,1,GAZE
117617,4,GAZE
117628,9,GAZE
117640,1,GAZE
117651,3,GAZE
117661,8,GAZE
117674,4,GAZE
117688,2,GAZE
117699,GAZE,-0
117709,7,GAZE
117721,GAZE,-0
117732,6,GAZE
117743,1,GAZE
117753,8,GAZE
117765,7,GAZE
117776,2,GAZE
117788,2,GAZE
117798,2,GAZE
117809,9,GAZE
117821,4,GAZE
117832,5,GAZE
117843,3,GAZE
117854,5,GAZE
117866,GAZE,-0
117877,4,GAZE
117888,8,GAZE
117899,3,GAZE
117910,7,GAZE
117921,8,GAZE
117932,8,GAZE
117944,4,GAZE
117955,5,GAZE
117966,8,GAZE
117977,GAZE,-0
117988,3,GAZE
117998,7,GAZE
118010,4,GAZE
118022,GAZE,-0
118033,GAZE,-0
118043,4,GAZE
118054,8,GAZE
118066,GAZE,0
118076,8,GAZE
118088,2,GAZE
118100,3,GAZE
118111,1,GAZE
118121,5,GAZE
118121,5,CANDIDATES
118133,GAZE,0
118143,8,GAZE
118155,3,GAZE
118165,9,GAZE
118180,3,GAZE
118188,3,GAZE
118198,7,GAZE
118209,8,GAZE
118221,7,GAZE
118232,8,GAZE
118243,8,GAZE
118255,3,GAZE
118265,8,GAZE
118276,7,GAZE
118288,3,GAZE
118299,8,GAZE
118311,8,GAZE
118321,9,GAZE
118332,5,GAZE
118343,2,GAZE
118354,7,GAZE
118365,3,GAZE
118376,7,GAZE
118388,5,GAZE
118388,5,CANDIDATES
118400,GAZE,0
118409,9,GAZE
118420,8,GAZE
118433,8,GAZE
118443,5,GAZE
118455,2,GAZE
118465,7,GAZE
118476,3,GAZE
118489,1,GAZE
118499,3,GAZE
118510,4,GAZE
118521,8,GAZE
118532,5,GAZE
118543,5,GAZE
118554,6,GAZE
118566,7,GAZE
118578,3,GAZE
118590,GAZE,-0
118599,5,GAZE
118610,8,GAZE
118621,9,GAZE
118632,8,GAZE
118644,2,GAZE
118655,3,GAZE
118666,3,GAZE
118677,5,GAZE
118688,1,GAZE
118699,5,GAZE
118710,3,GAZE
118722,4,GAZE
118733,2,GAZE
118746,3,GAZE
118755,1,GAZE
118766,7,GAZE
118777,5,GAZE
118789,8,GAZE
118800,6,GAZE
118811,8,GAZE
118821,8,GAZE
118833,1,GAZE
118844,4,GAZE
118855,GAZE,0
118865,9,GAZE
118877,4,GAZE
118888,2,GAZE
118898,9,GAZE
118898,9,CANDIDATES
118911,1,GAZE
118921,6,GAZE
118932,3,GAZE
118944,3,GAZE
118954,6,GAZE
118965,4,GAZE
118977,GAZE,0
118988,3,GAZE
118999,1,GAZE
119011,4,GAZE
119021,1,GAZE
119032,5,GAZE
119044,GAZE,0
119055,2,GAZE
119066,2,GAZE
119077,7,GAZE
119088,7,GAZE
119099,9,GAZE
119111,2,GAZE
119122,4,GAZE
119133,1,GAZE
119144,6,GAZE
119155,1,GAZE
119166,5,GAZE
119177,3,GAZE
119188,5,GAZE
119210,6,GAZE
119219,6,GAZE
119230,7,GAZE
119240,8,GAZE
119252,3,GAZE
119263,4,GAZE
119274,GAZE,0
119285,9,GAZE
119297,1,GAZE
119307,GAZE,-0
119318,2,GAZE
119332,7,GAZE
119343,5,GAZE
119354,8,GAZE
119366,3,GAZE
119376,8,GAZE
119388,GAZE,-0
119400,1,GAZE
119400,1,CANDIDATES
119411,2,GAZE
119423,GAZE,-0
119432,GAZE,-0
119442,6,GAZE
119454,7,GAZE
119465,3,GAZE
119476,1,GAZE
119487,8,GAZE
119499,2,GAZE
119509,5,GAZE
119521,1,GAZE
119532,2,GAZE
119543,7,GAZE
119555,2,GAZE
119566,2,GAZE
119577,2,GAZE
119588,6,GAZE
119600,1,GAZE
119611,5,GAZE
119622,3,GAZE
119632,5,GAZE
119644,6,GAZE
119655,1,GAZE
119665,7,GAZE
119677,GAZE,0
119688,6,GAZE
119699,2,GAZE
119710,7,GAZE
119721,7,GAZE
119732,4,GAZE
119745,2,GAZE
119755,1,GAZE
119766,3,GAZE
119777,5,GAZE
119788,5,GAZE
119800,3,GAZE
119811,GAZE,0
119821,9,GAZE
119834,6,GAZE
119845,1,GAZE
119854,9,GAZE
119866,3,GAZE
119877,5,GAZE
119888,8,GAZE
119899,7,GAZE
119910,5,GAZE
119910,5,CANDIDATES
119922,2,GAZE
119944,6,GAZE
119953,1,GAZE
119964,8,GAZE
119975,7,GAZE
119987,2,GAZE
119998,4,GAZE
120008,6,GAZE
120019,8,GAZE
120031,6,GAZE
120043,5,GAZE
120053,8,GAZE
120066,4,GAZE
120077,4,GAZE
120088,5,GAZE
120099,9,GAZE
120111,2,GAZE
120122,2,GAZE
120132,5,GAZE
120143,5,GAZE
120154,9,GAZE
120166,3,GAZE
120177,5,GAZE
120188,5,GAZE
120199,9,GAZE
120211,3,GAZE
120221,9,GAZE
120233,GAZE,-0
120246,9,GAZE
120255,5,GAZE
120266,2,GAZE
120277,7,GAZE
120288,3,GAZE
120299,6,GAZE
120310,4,GAZE
120321,8,GAZE
120332,3,GAZE
120345,6,GAZE
120355,GAZE,0
120365,9,GAZE
120377,4,GAZE
120388,6,GAZE
120399,4,GAZE
120413,2,GAZE
120422,6,GAZE
120432,3,GAZE
120432,3,CANDIDATES
120443,2,GAZE
120456,1,GAZE
120465,5,GAZE
120476,5,GAZE
120487,8,GAZE
120499,5,GAZE
120510,2,GAZE
120521,5,GAZE
120533,2,GAZE
120545,6,GAZE
120578,4,GAZE
120582,6,GAZE
120593,4,GAZE
120604,7,GAZE
120615,8,GAZE
120626,8,GAZE
120637,6,GAZE
120648,6,GAZE
120661,2,GAZE
120671,GAZE,-0
120682,GAZE,-0
120692,8,GAZE
120699,2,GAZE
120709,8,GAZE
120721,8,GAZE
120733,1,GAZE
120743,9,GAZE
120755,3,GAZE
120766,9,GAZE
120777,GAZE,-0
120788,5,GAZE
120799,9,GAZE
120810,3,GAZE
120821,6,GAZE
120833,GAZE,-0
120844,1,GAZE
120855,3,GAZE
120867,1,GAZE
120877,8,GAZE
120889,2,GAZE
120900,GAZE,-0
120910,3,GAZE
120921,8,GAZE
120933,GAZE,-0
120944,7,GAZE
120955,4,GAZE
120966,6,GAZE
120977,6,GAZE
120988,9,GAZE
120999,7,GAZE
121011,7,GAZE
121023,1,GAZE
121033,7,GAZE
121046,3,GAZE
121056,1,GAZE
121067,3,GAZE
121077,9,GAZE
121088,5,GAZE
121099,6,GAZE
121111,9,GAZE
121122,3,GAZE
121132,9,GAZE
121144,3,GAZE
121154,8,GAZE
121166,6,GAZE
121177,7,GAZE
121189,4,GAZE
121200,6,GAZE
121210,6,GAZE
121222,7,GAZE
121233,6,GAZE
121244,8,GAZE
121255,7,GAZE
121268,1,GAZE
121280,6,GAZE
121289,GAZE,-0
121300,6,GAZE
121310,7,GAZE
121320,5,GAZE
121332,GAZE,-0
121342,5,GAZE
121354,3,GAZE
121365,2,GAZE
121375,9,GAZE
121387,8,GAZE
121399,9,GAZE
121410,5,GAZE
121421,6,GAZE
121433,6,GAZE
121443,3,GAZE
121454,6,GAZE
121466,4,GAZE
121476,5,GAZE
121488,1,GAZE
121498,5,GAZE
121510,GAZE,0
121521,GAZE,0
121532,1,GAZE
121544,3,GAZE
121554,GAZE,0
121566,1,GAZE
121576,9,GAZE
121588,4,GAZE
121599,1,GAZE
121610,3,GAZE
121621,3,GAZE
121632,5,GAZE
121643,7,GAZE
121655,2,GAZE
121666,3,GAZE
121677,2,GAZE
121690,2,GAZE
121699,8,GAZE
